trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
104,0,104,0,10,247.83547170000384,247.83547170000384,0.020392099977470934,[0.36083333333333334],[0.07166666666666667],[1],[0],[0],[3.0590738999890164],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
105,0,105,0,10,250.91800720000174,250.91800720000174,0.02025369997136295,[0.06333333333333334],[-0.1425],[1],[0],[0],[2.0761724999756552],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
106,0,106,0,5,253.00692700000945,253.00692700000945,0.011466299998573959,[-0.1475],[0.0525],[1],[0],[0],[1.685357499984093],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
107,0,107,0,5,254.708354900009,254.708354900009,0.012249699968378991,[-0.11583333333333333],[0.11],[1],[0],[0],[1.4833472999744117],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
108,0,108,0,5,256.2083391000051,256.2083391000051,0.012300900008995086,[-0.225],[-0.16666666666666666],[1],[0],[0],[1.601116199977696],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
109,0,109,0,10,257.8391238999902,257.8391238999902,0.023725600040052086,[-0.4166666666666667],[-0.13166666666666665],[1],[0],[0],[1.4380678000161424],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
110,0,110,0,10,259.2996959000011,259.2996959000011,0.020047000027261674,[0.44083333333333335],[0.4166666666666667],[1],[0],[0],[2.1437022000318393],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
111,0,111,0,5,261.45675660000416,261.45675660000416,0.01128530001733452,[0.06166666666666667],[-0.4691666666666667],[1],[0],[0],[2.1850205999799073],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
112,0,112,0,5,263.6576863999944,263.6576863999944,0.012015199987217784,[-0.10166666666666667],[0.22166666666666668],[1],[0],[0],[1.5513128000311553],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
113,0,113,0,5,265.2273244999815,265.2273244999815,0.014188400004059076,[-0.25583333333333336],[0.1875],[1],[0],[0],[1.348028400039766],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
114,0,114,0,10,266.6036375000258,266.6036375000258,0.020836199983023107,[0.08583333333333333],[0.43666666666666665],[1],[0],[0],[1.4917779000243172],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
115,0,115,0,10,268.1178486000281,268.1178486000281,0.02052020002156496,[0.20333333333333334],[0.195],[1],[0],[0],[1.7750387000269257],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
116,0,116,0,5,269.90473479998764,269.90473479998764,0.010039999964646995,[0.08833333333333333],[-0.019166666666666665],[1],[0],[0],[1.3886176000232808],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
117,0,117,0,5,271.3149321000092,271.3149321000092,0.013139600050635636,[-0.3925],[-0.265],[1],[0],[0],[1.5146044000284746],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
118,0,118,0,10,272.859150400036,272.859150400036,0.022567200008779764,[-0.2375],[-0.12083333333333333],[1],[0],[0],[1.7081110999570228],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
119,0,119,0,5,274.5791845000349,274.5791845000349,0.011794299993198365,[-0.195],[0.4533333333333333],[1],[0],[0],[1.8830972999567166],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
120,0,120,0,10,276.4915792000247,276.4915792000247,0.020937699999194592,[-0.15666666666666668],[-0.009166666666666667],[1],[0],[0],[1.5760458000004292],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
121,0,121,0,10,278.09413919999497,278.09413919999497,0.02085039997473359,[0.08833333333333333],[0.3333333333333333],[1],[0],[0],[2.0071652000187896],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
122,0,122,0,5,280.10311319999164,280.10311319999164,0.010001600021496415,[0.4666666666666667],[-0.14166666666666666],[1],[0],[0],[1.9714141999720596],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
123,0,123,0,10,282.1063147999812,282.1063147999812,0.023492700012866408,[0.3933333333333333],[0.39916666666666667],[1],[0],[0],[1.9720912000047974],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
124,0,124,0,10,284.0989139000303,284.0989139000303,0.01999729999806732,[0.435],[-0.18416666666666667],[1],[0],[0],[2.0266755999764428],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
125,0,125,0,5,286.1375207999954,286.1375207999954,0.011096000031102449,[-0.3675],[-0.0575],[1],[0],[0],[1.8203726999927312],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
126,0,126,0,5,287.9739261000068,287.9739261000068,0.011657700000796467,[0.04833333333333333],[0.4741666666666667],[1],[0],[0],[2.867154199979268],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
127,0,127,0,5,290.8565232999972,290.8565232999972,0.01143349998164922,[-0.3525],[-0.35333333333333333],[1],[0],[0],[3.116370400006417],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
